"Turbine_ID","X.coordinate","Y.coordinate","Site.Name","No..of.Turbines","Turbine.Capacity..MW.","Capacity","Status.Summary","Old.Ref.ID","Record.Last.Updated..dd.mm.yyyy.","County","Region","Country","Planning.Application.Submitted","Under.Construction","Operational","Size","year","Censusboundaries","Airports","Aonb","Aroads","Broads","Hcoast","Localunitaryauthority","Minroads","Motorways","Nationalparks","Nnr","Powerlines","Primaryroads","Railway","Ramsar","Sacs","Spa","Sssi","Ukelevation","Urbanregions","Windspeed45","Code","Type","Council_size","Con","Lab","LD","Other","SNP_PC","Control","Majority","Con_share","Lab_share","LD_share","Oth_share","SNP_PC_share","Age_Total","Age_Mean","Age_Median","Qual_Total","Qual_Level4","Qual_PercentL4","SocialGradeTotal","SocialGradePercentAB","Tenure_Total","Tenure_Owned","PercentOwner","Planning_Status_Code"
"L_1394",392720,419080,"Crook Hill (Revised Application - Calderdale MBC) 1 of 2",4,3.4,13.6,"Approved","A0458","04/01/2016","Greater Manchester","North West","England","04/08/2008","01/01/2015","01/12/2015","Large",2008,"E01005518",19.09,21.23,2.84,2.95,125.46,"E08000005",0.8,5.34,13.01,33.43,1.13,1.84,1.63,38.95,2.18,2.18,2.18,366,1.55,7.8,4805,5,60,8,19,33,0,NA,"LD",31,13.3333333333333,31.6666666666667,55,0,NA,1425,40.4,41,1160,265,23,433,18,591,420,71,1
"L_1395",303500,528500,"Winscales Moor",7,0.85,6,"Approved","EN00319","07/09/2009","Cumbria","North West","England","01/10/2006","01/12/2008","01/05/2009","Large",2006,"E01019101",55.03,8.56,3.58,2.83,15.3,"E07000026",0.58,43.84,7.03,10.06,0.56,0.05,3.89,17.53,1.33,17.47,1.33,84,0.86,7.3,901,1,56,18,27,3,8,NA,"NOC",29,32.1428571428571,48.2142857142857,5.35714285714286,14.2857142857143,NA,1507,47.2,50,1287,332,26,405,23,619,583,94,1
"L_1396",279021,635662,"Nutberry Wind Farm",6,2.5,15,"Approved","A0098","25/03/2015","Strathclyde","Scotland","Scotland","28/09/2006","01/12/2011","30/09/2013","Large",2006,"S01005680",42.62,30.2,6.81,4.51,120.83,"S12000029",0.16,4.91,58.08,10.55,2.53,10.96,11.19,36.3,2.54,3.77,2.33,252,0.88,6.8,8027,12,67,5,48,2,3,9,"Lab",34,7.46268656716418,71.6417910447761,2.98507462686567,4.47761194029851,13.4328358208955,830,39,41,651,160,25,540,25.6,306,246,80,1
"L_1397",375080,772580,"Tullo Wind Farm North Extension (Shiels Wind Farm)",3,2.5,7.5,"Approved","AA449","20/03/2014","Grampian","Scotland","Scotland","28/07/2011","30/04/2013","01/04/2014","Large",2011,"S01000282",41.85,44.2,2.28,2.24,117.28,"S12000034",0.99,79.72,29.03,7.63,0.49,2.02,2.33,14.19,15.35,13.15,3.55,224,1.81,9.5,8001,12,43,5,10,15,1,12,"NOC",22,11.6279069767442,23.2558139534884,34.8837209302326,2.32558139534884,27.906976744186,750,38.3,40,601,199,33,511,21.5,304,207,68,1
"L_1398",541686,299303,"Long Hill Road",1,2,2,"Approved","N00026W","22/04/2009","Cambridgeshire","Eastern","England","03/07/2001",NA,"01/01/2005","Large",2001,"E01018081",32.26,31.04,2.99,0.21,52.52,"E07000010",0.55,26.98,81.49,22.26,2.12,1.97,0.33,3.82,3.82,3.82,3.82,3,0.35,6.3,503,1,40,28,8,1,3,NA,"Con",21,70,20,2.5,7.5,NA,1918,39.3,39,1620,188,12,409,9.8,579,439,76,1
"L_1400",225000,555000,"Carscreugh Renewable Energy Park",18,0.85,15.3,"Approved","EN00036","25/09/2014","Dumfries and Galloway","Scotland","Scotland","01/05/2006","01/06/2013","15/01/2014","Large",2006,"S01000916",72.95,29.06,2.4,5.52,79.89,"S12000006",0.55,89.84,88.05,25.93,4.44,3.91,7.58,4.79,1.89,4.76,1.89,93,2.52,8,8008,12,47,11,14,5,12,5,"NOC",24,23.4042553191489,29.7872340425532,10.6382978723404,25.531914893617,10.6382978723404,1046,45.5,49,870,162,19,606,11.4,482,308,64,1
"L_1401",334300,1026200,"Burgar Hill",2,2.5,5,"Approved","S0034W3","05/10/2009","Orkney Islands","Scotland","Scotland","13/02/1997",NA,"01/12/2006","Large",1997,"S01004967",22.64,9.97,1.33,1.68,374.19,"S12000023",0.86,304.63,191.7,77.32,62.34,60.85,63,33.94,8.53,0.17,0.17,148,1.36,9.2,6401,14,27,0,0,0,27,0,"Ind",14,0,0,0,100,0,669,42.9,46,545,195,36,432,27.3,275,230,84,1
"L_1402",334790,1025240,"Thorfinn Wind Farm - NM2000",2,1.15,2.3,"Approved","S0035W3","05/10/2009","Orkney Islands","Scotland","Scotland","23/10/1998",NA,"01/04/2000","Large",1998,"S01004967",21.58,9.22,1.6,0.6,373.16,"S12000023",1.16,303.72,190.82,76.62,61.62,60.16,62.29,33.82,8.83,0.17,0.17,163,1.33,9.8,6401,14,27,0,0,0,27,0,"Ind",14,0,0,0,100,0,669,42.9,46,545,195,36,432,27.3,275,230,84,1
"L_1403",549195,382820,"Bambers Farm",8,0.6,9.6,"Approved","N00123W","04/12/2009","Lincolnshire","East Midlands","England","18/02/2003",NA,"01/11/2004","Large",2003,"E01026109",48.34,9.67,1.24,4.84,29.24,"E07000137",0.51,52.34,99.83,4.39,8.47,11.86,19.66,4.25,4.25,4.25,4.25,1,0.45,6.6,2502,1,60,15,12,6,27,NA,"NOC",31,25,20,10,45,NA,2159,53.8,60,1974,179,9,595,6.6,1149,895,78,1
"L_1404",226478,599253,"Hadyard Hill",52,2.3,120,"Approved","N00045W","06/05/2009","Strathclyde","Scotland","Scotland","27/05/2003","01/05/2006","08/05/2006","Large",2003,"S01005535",29.57,44.39,8.43,2.33,108.11,"S12000028",1.03,47.3,81.52,24.81,1.69,6.89,2.61,24.08,9.94,21.7,3.39,274,1.9,7.6,8026,12,30,15,15,0,0,0,"NOC",16,50,50,0,0,0,851,41.4,43,694,81,12,533,5.6,362,194,54,1
