"Turbine_ID","X.coordinate","Y.coordinate","Site.Name","No..of.Turbines","Turbine.Capacity..MW.","Capacity","Status.Summary","Old.Ref.ID","Record.Last.Updated..dd.mm.yyyy.","County","Region","Country","Planning.Application.Submitted","Under.Construction","Operational","Size","year","Censusboundaries","Airports","Aonb","Aroads","Broads","Hcoast","Localunitaryauthority","Minroads","Motorways","Nationalparks","Nnr","Powerlines","Primaryroads","Railway","Ramsar","Sacs","Spa","Sssi","Ukelevation","Urbanregions","Windspeed45","Code","Type","Council_size","Con","Lab","LD","Other","SNP_PC","Control","Majority","Con_share","Lab_share","LD_share","Oth_share","SNP_PC_share","Age_Total","Age_Mean","Age_Median","Qual_Total","Qual_Level4","Qual_PercentL4","SocialGradeTotal","SocialGradePercentAB","Tenure_Total","Tenure_Owned","PercentOwner"
"L_0377",348500,831500,"Clashindarroch",40,0,129,"Refused/Abandoned","N00034W","11/09/2007","Grampian","Scotland","Scotland","18/08/2003",NA,NA,"Large",2003,"S01000441",43.96,36.93,3.36,3.59,180.87,"S12000034",0.2,114.86,15.15,29.65,8.35,8.48,3.92,30.6,5.12,10.32,3.67,236,0.2,7,8001,12,43,3,14,20,0,6,"NOC",22,6.97674418604651,32.5581395348837,46.5116279069767,0,13.953488372093,900,42.1,45,735,185,25,572,18.9,394,253,64
"L_0378",272392,555914,"Mayfield Community Wind Farm (resubmission)",6,3.4,20.4,"Refused/Abandoned","AA681","25/09/2014","Dumfries and Galloway","Scotland","Scotland","16/12/2011",NA,NA,"Large",2011,"S01000920",75.94,4.78,1.82,1.95,46.4,"S12000006",0.92,47.84,46.26,18.31,1.56,3.14,29.35,4.61,13.56,4.61,4.61,125,2.88,7.9,8008,12,47,18,14,3,2,10,"NOC",24,38.2978723404255,29.7872340425532,6.38297872340426,4.25531914893617,21.2765957446809,597,41.5,44,480,130,27,373,14.5,248,156,63
"L_0379",443800,83800,"Cheverton Down Farm Re-submission",3,3,9,"Refused/Abandoned","N00041W","02/12/2014","Isle of Wight","South East","England","21/05/2001",NA,NA,"Large",2001,"E01017290",14.49,0,2.29,1.19,1.83,"E06000046",1.2,26.4,12.95,6.23,8.7,24.88,12.37,6.23,1.87,6.23,1.87,189,0.99,7.6,2121,11,48,12,5,19,12,NA,"NOC",25,25,10.4166666666667,39.5833333333333,25,NA,1332,50.2,54,1180,329,28,371,25.6,588,476,81
"L_0380",387627,283802,"Roundhill Sewage Works Wind Turbines",2,3.4,6.8,"Refused/Abandoned","AA079","08/10/2013","Staffordshire","West Midlands","England","22/04/2010",NA,NA,"Large",2010,"E01029652",29.51,23.59,1.61,0.94,163.77,"E07000196",0.13,10.82,69.03,9.72,0.46,1.21,2.85,37.2,6.07,69.61,1.19,84,0.7,6.1,3405,1,49,42,1,1,5,NA,"Con",25,85.7142857142857,2.04081632653061,2.04081632653061,10.2040816326531,NA,1730,45.6,49,1499,527,35,430,41.9,672,586,87
"L_0381",266200,584260,"Loch Hill Wind Farm",11,2.3,25.3,"Refused/Abandoned","AA755","25/09/2014","Dumfries and Galloway","Scotland","Scotland","13/12/2010",NA,NA,"Large",2010,"S01001068",51.96,22.41,1.87,3.53,74.68,"S12000006",0.47,44.23,68.66,18.34,5.02,20.28,24.44,6.37,12.63,6.37,4.61,243,2.22,7.7,8008,12,47,18,14,3,2,10,"NOC",24,38.2978723404255,29.7872340425532,6.38297872340426,4.25531914893617,21.2765957446809,867,47.5,50,766,277,36,548,21.5,395,279,71
"L_0382",341558,568718,"Hallburn Farm",6,2,12,"Refused/Abandoned","A0445","23/08/2013","Cumbria","North West","England","15/03/2011",NA,NA,"Large",2011,"E01019228",10.45,7.56,1.92,5.89,70.41,"E07000028",0.24,7.19,21.79,7.78,2.84,2.94,4.72,7.43,6.07,7.38,1.11,36,2.3,6.3,903,1,52,22,24,4,2,NA,"NOC",27,42.3076923076923,46.1538461538462,7.69230769230769,3.84615384615385,NA,1553,43.8,46,1331,226,17,450,10.7,658,469,71
"L_0383",302174,969703,"Forss Extension (Forss III)",5,1.3,6.5,"Refused/Abandoned","AA168","02/01/2013","Highland","Scotland","Scotland","28/10/2010",NA,NA,"Large",2010,"S01003993",38.04,31.65,0.88,8.59,326.59,"S12000017",0.06,247.08,133.12,15.37,1.59,7.74,9.29,7.67,7.67,5.4,1.32,31,0.74,7.9,8018,12,80,0,7,22,34,17,"NOC",41,0,8.75,27.5,42.5,21.25,694,46.2,49,579,161,28,411,23.8,293,234,80
"L_0384",501498,417416,"Saxby Wold Wind Farm (Resubmission)",18,2,36,"Refused/Abandoned","AA533","05/09/2014","Humberside","Yorkshire and Humber","England","21/06/2011",NA,NA,"Large",2011,"E01013268",10.73,19.44,3.82,0.86,37.81,"E06000013",0.88,7.2,66.01,5.35,1.76,1.11,5.37,4.82,4.82,4.82,2.6,74,2.03,7.1,2024,11,43,23,20,0,0,NA,"Con",22,53.4883720930233,46.5116279069767,0,0,NA,1262,43.8,47,1038,277,27,385,23.1,567,390,69
"L_0385",321080,656760,"Auchencorth Moss",18,2,45,"Refused/Abandoned","N00404W","05/10/2009","Lothian","Scotland","Scotland","27/01/2006",NA,NA,"Large",2006,"S01004122",18.38,14.18,2.45,3.83,76.78,"S12000019",0.73,14.26,68.29,32.72,1.37,2.36,11.64,8.51,6.86,8.51,0.76,271,2.56,7.4,8020,12,18,0,15,2,0,1,"Lab",10,0,83.3333333333333,11.1111111111111,0,5.55555555555556,900,38.6,40,712,352,49,594,36.2,357,268,75
"L_0386",381531,315066,"King's Street",6,2,12,"Refused/Abandoned","AA033","09/08/2011","Staffordshire","West Midlands","England","13/12/2010",NA,NA,"Large",2010,"E01029670",27.83,14.77,4.15,3.91,184.87,"E07000196",0.32,8.05,44.19,2.76,8.88,3.93,9.61,5.67,2.76,49,2.76,113,0.69,6.4,3405,1,49,42,1,1,5,NA,"Con",25,85.7142857142857,2.04081632653061,2.04081632653061,10.2040816326531,NA,1579,43.3,46,1322,452,34,452,35.8,640,436,68
